kod řeky,tyden,prumer
198400,11.03.1991,0.2994
198400,18.03.1991,0.3901
198400,25.03.1991,0.3343
198400,01.04.1991,0.4286
198400,08.04.1991,0.4856
198400,15.04.1991,0.2769
198400,22.04.1991,0.2776
198400,29.04.1991,0.3363
198400,06.05.1991,0.3400
198400,13.05.1991,0.3203
198400,20.05.1991,0.2406
198400,27.05.1991,0.2709
198400,03.06.1991,0.3387
198400,10.06.1991,0.3024
198400,17.06.1991,0.4736
198400,24.06.1991,0.4439
198400,01.07.1991,0.2241
198400,08.07.1991,0.2851
198400,15.07.1991,0.2713
198400,22.07.1991,0.2147
198400,29.07.1991,0.2830
198400,05.08.1991,0.2587
198400,12.08.1991,0.1850
198400,19.08.1991,0.1780
198400,26.08.1991,0.1563
198400,02.09.1991,0.1264
198400,09.09.1991,0.1531
198400,16.09.1991,0.1660
198400,23.09.1991,0.1641
198400,30.09.1991,0.1370
198400,07.10.1991,0.1586
198400,14.10.1991,0.1910
198400,21.10.1991,0.1707
198400,28.10.1991,0.2069
198400,04.11.1991,0.3179
198400,11.11.1991,0.3189
198400,18.11.1991,0.4461
198400,25.11.1991,0.3746
198400,02.12.1991,0.3171
198400,09.12.1991,0.1981
198400,16.12.1991,0.4126
198400,23.12.1991,0.7110
198400,30.12.1991,0.4606
198400,06.01.1992,0.6311
198400,13.01.1992,0.4324
198400,20.01.1992,0.3469
198400,27.01.1992,0.2987
198400,03.02.1992,0.2916
198400,10.02.1992,0.3164
198400,17.02.1992,0.3050
198400,24.02.1992,0.2947
198400,02.03.1992,0.2619
198400,09.03.1992,0.2649
198400,16.03.1992,0.2776
198400,23.03.1992,0.5084
198400,30.03.1992,0.5117
198400,06.04.1992,0.4353
198400,13.04.1992,0.3734
198400,20.04.1992,0.3446
198400,27.04.1992,0.3993
198400,04.05.1992,0.3631
198400,11.05.1992,0.3136
198400,18.05.1992,0.2369
198400,25.05.1992,0.2001
198400,01.06.1992,0.2787
198400,08.06.1992,0.3276
198400,15.06.1992,0.2223
198400,22.06.1992,0.2367
198400,29.06.1992,0.2306
198400,06.07.1992,0.3069
198400,13.07.1992,0.1936
198400,20.07.1992,0.0953
198400,27.07.1992,0.1056
198400,03.08.1992,0.1460
198400,10.08.1992,0.0986
198400,17.08.1992,0.1276
198400,24.08.1992,0.0893
198400,31.08.1992,0.0904
198400,07.09.1992,0.0836
198400,14.09.1992,0.1127
198400,21.09.1992,0.1140
198400,28.09.1992,0.1043
198400,05.10.1992,0.1090
198400,12.10.1992,0.1166
198400,19.10.1992,0.1707
198400,26.10.1992,0.1866
198400,02.11.1992,0.2246
198400,09.11.1992,0.2306
198400,16.11.1992,0.2149
198400,23.11.1992,0.2493
198400,30.11.1992,0.2429
198400,07.12.1992,0.2556
198400,14.12.1992,0.3116
198400,21.12.1992,0.3050
198400,28.12.1992,0.2727
198400,04.01.1993,0.3061
198400,11.01.1993,0.2530
198400,18.01.1993,0.2306
198400,25.01.1993,0.2266
198400,01.02.1993,0.2929
198400,08.02.1993,0.1884
198400,15.02.1993,0.2320
198400,22.02.1993,0.3187
198400,01.03.1993,0.2913
198400,08.03.1993,0.5061
198400,15.03.1993,1.3624
198400,22.03.1993,0.5090
198400,29.03.1993,0.2843
198400,05.04.1993,0.2931
198400,12.04.1993,0.2616
198400,19.04.1993,0.2166
198400,26.04.1993,0.1569
198400,03.05.1993,0.2214
198400,10.05.1993,0.2136
198400,17.05.1993,0.2530
198400,24.05.1993,0.2107
198400,31.05.1993,0.1554
198400,07.06.1993,0.1890
198400,14.06.1993,0.2506
198400,21.06.1993,0.2960
198400,28.06.1993,0.2061
198400,05.07.1993,0.2706
198400,12.07.1993,0.4149
198400,19.07.1993,0.3894
198400,26.07.1993,0.2306
198400,02.08.1993,0.3093
198400,09.08.1993,0.1777
198400,16.08.1993,0.2174
198400,23.08.1993,0.3159
198400,30.08.1993,0.2559
198400,06.09.1993,0.3336
198400,13.09.1993,0.4161
198400,20.09.1993,0.4717
198400,27.09.1993,0.4007
198400,04.10.1993,0.2876
198400,11.10.1993,0.1273
198400,18.10.1993,0.2123
198400,25.10.1993,0.1839
198400,01.11.1993,0.1011
198400,08.11.1993,0.1413
198400,15.11.1993,0.2207
198400,22.11.1993,0.1346
198400,29.11.1993,0.2599
198400,06.12.1993,0.3526
198400,13.12.1993,0.4531
198400,20.12.1993,1.7436
198400,27.12.1993,0.6353
198400,03.01.1994,0.5886
198400,10.01.1994,0.4864
198400,17.01.1994,0.3669
198400,24.01.1994,0.4531
198400,31.01.1994,0.4391
198400,07.02.1994,0.4373
198400,14.02.1994,0.4301
198400,21.02.1994,0.3809
198400,28.02.1994,0.6904
198400,07.03.1994,0.6933
198400,14.03.1994,0.6524
198400,21.03.1994,0.6644
198400,28.03.1994,0.6047
198400,04.04.1994,0.4519
198400,11.04.1994,1.2550
198400,18.04.1994,2.0349
198400,25.04.1994,0.6359
198400,02.05.1994,0.4943
198400,09.05.1994,0.4981
198400,16.05.1994,0.5174
198400,23.05.1994,0.4931
198400,30.05.1994,0.4181
198400,06.06.1994,0.3536
198400,13.06.1994,0.3239
198400,20.06.1994,0.2516
198400,27.06.1994,0.2096
198400,04.07.1994,0.2251
198400,11.07.1994,0.2129
198400,18.07.1994,0.3131
198400,25.07.1994,0.1677
198400,01.08.1994,0.1580
198400,08.08.1994,0.3244
198400,15.08.1994,0.2104
198400,22.08.1994,0.7044
198400,29.08.1994,0.5654
198400,05.09.1994,0.5827
198400,12.09.1994,0.5803
198400,19.09.1994,0.4193
198400,26.09.1994,0.4724
198400,03.10.1994,0.4961
198400,10.10.1994,0.4904
198400,17.10.1994,0.4940
198400,24.10.1994,0.4979
198400,31.10.1994,0.3926
198400,07.11.1994,0.3916
198400,14.11.1994,0.4594
198400,21.11.1994,0.3911
198400,28.11.1994,0.3626
198400,05.12.1994,0.3650
198400,12.12.1994,0.6907
198400,19.12.1994,0.4764
198400,26.12.1994,0.5680
198400,02.01.1995,0.7833
198400,09.01.1995,0.4439
198400,16.01.1995,0.3530
198400,23.01.1995,1.2299
198400,30.01.1995,1.1031
198400,06.02.1995,0.6979
198400,13.02.1995,0.6094
198400,20.02.1995,0.6699
198400,27.02.1995,0.7503
198400,06.03.1995,0.5489
198400,13.03.1995,0.5653
198400,20.03.1995,0.7216
198400,27.03.1995,0.7066
198400,03.04.1995,0.9293
198400,10.04.1995,1.0664
198400,17.04.1995,1.5929
198400,24.04.1995,0.9324
198400,01.05.1995,0.7516
198400,08.05.1995,1.8207
198400,15.05.1995,1.4684
198400,22.05.1995,0.6234
198400,29.05.1995,3.6846
198400,05.06.1995,3.0543
198400,12.06.1995,4.5871
198400,19.06.1995,2.5857
198400,26.06.1995,11.2086
198400,03.07.1995,0.9730
198400,10.07.1995,0.5849
198400,17.07.1995,0.6521
198400,24.07.1995,0.7376
198400,31.07.1995,0.6083
198400,07.08.1995,0.3994
198400,14.08.1995,0.4361
198400,21.08.1995,0.4150
198400,28.08.1995,1.3490
198400,04.09.1995,1.2076
198400,11.09.1995,0.6310
198400,18.09.1995,0.6734
198400,25.09.1995,0.6487
198400,02.10.1995,0.5606
198400,09.10.1995,0.4870
198400,16.10.1995,0.5449
198400,23.10.1995,0.6730
198400,30.10.1995,0.6799
198400,06.11.1995,0.8810
198400,13.11.1995,0.6987
198400,20.11.1995,0.6416
198400,27.11.1995,0.6001
198400,04.12.1995,0.4680
198400,11.12.1995,0.3737
198400,18.12.1995,0.8840
198400,25.12.1995,1.4467
198400,01.01.1996,0.6549
198400,08.01.1996,0.5727
198400,15.01.1996,0.4717
198400,22.01.1996,0.5100
198400,29.01.1996,0.4184
198400,05.02.1996,0.3701
198400,12.02.1996,0.5006
198400,19.02.1996,0.7767
198400,26.02.1996,0.6043
198400,04.03.1996,0.6416
198400,11.03.1996,0.6516
198400,18.03.1996,1.6886
198400,25.03.1996,1.3363
198400,01.04.1996,1.0546
198400,08.04.1996,1.0444
198400,15.04.1996,0.7396
198400,22.04.1996,0.5653
198400,29.04.1996,0.6757
198400,06.05.1996,1.0586
198400,13.05.1996,0.9499
198400,20.05.1996,0.8586
198400,27.05.1996,0.6091
198400,03.06.1996,0.3869
198400,10.06.1996,0.3097
198400,17.06.1996,0.3456
198400,24.06.1996,0.5764
198400,01.07.1996,0.5523
198400,08.07.1996,2.0751
198400,15.07.1996,0.8990
198400,22.07.1996,0.3959
198400,29.07.1996,0.3777
198400,05.08.1996,0.3429
198400,12.08.1996,0.5490
198400,19.08.1996,0.3437
198400,26.08.1996,0.4867
198400,02.09.1996,0.4930
198400,09.09.1996,0.6083
198400,16.09.1996,0.7531
198400,23.09.1996,0.6773
198400,30.09.1996,0.6080
198400,07.10.1996,0.3997
198400,14.10.1996,0.6097
198400,21.10.1996,0.7381
198400,28.10.1996,0.6420
198400,04.11.1996,0.6221
198400,11.11.1996,0.6364
198400,18.11.1996,0.6267
198400,25.11.1996,0.5247
198400,02.12.1996,0.5921
198400,09.12.1996,0.5773
198400,16.12.1996,0.6736
198400,23.12.1996,0.4690
198400,30.12.1996,0.3454
198400,06.01.1997,0.3400
198400,13.01.1997,0.3400
198400,20.01.1997,0.3807
198400,27.01.1997,0.3159
198400,03.02.1997,0.3493
198400,10.02.1997,1.7176
198400,17.02.1997,1.2986
198400,24.02.1997,1.1814
198400,03.03.1997,0.8456
198400,10.03.1997,0.6639
198400,17.03.1997,1.0053
198400,24.03.1997,0.9957
198400,31.03.1997,0.9096
198400,07.04.1997,0.7529
198400,14.04.1997,0.6810
198400,21.04.1997,0.5627
198400,28.04.1997,0.6096
198400,05.05.1997,0.4979
198400,12.05.1997,0.4766
198400,19.05.1997,0.3567
198400,26.05.1997,0.2423
198400,02.06.1997,0.3373
198400,09.06.1997,0.3971
198400,16.06.1997,0.4136
198400,23.06.1997,0.5129
198400,30.06.1997,0.8386
198400,07.07.1997,0.5437
198400,14.07.1997,0.5510
198400,21.07.1997,1.1339
198400,28.07.1997,0.4669
198400,04.08.1997,0.5041
198400,11.08.1997,0.3341
198400,18.08.1997,0.2474
198400,25.08.1997,0.2489
198400,01.09.1997,0.3636
198400,08.09.1997,0.2709
198400,15.09.1997,0.2120
198400,22.09.1997,0.2023
198400,29.09.1997,0.2983
198400,06.10.1997,0.4496
198400,13.10.1997,0.3757
198400,20.10.1997,0.1986
198400,27.10.1997,0.1739
198400,03.11.1997,0.2431
198400,10.11.1997,0.2577
198400,17.11.1997,0.2879
198400,24.11.1997,0.3141
198400,01.12.1997,0.5207
198400,08.12.1997,0.6389
198400,15.12.1997,0.5323
198400,22.12.1997,0.5049
198400,29.12.1997,0.4433
198400,05.01.1998,0.3934
198400,12.01.1998,0.3441
198400,19.01.1998,0.3170
198400,26.01.1998,0.2977
198400,02.02.1998,0.2450
198400,09.02.1998,0.2353
198400,16.02.1998,0.2440
198400,23.02.1998,0.3971
198400,02.03.1998,0.6571
198400,09.03.1998,0.5089
198400,16.03.1998,0.5040
198400,23.03.1998,0.3843
198400,30.03.1998,0.3286
198400,06.04.1998,0.2694
198400,13.04.1998,0.2694
198400,20.04.1998,0.2790
198400,27.04.1998,0.2266
198400,04.05.1998,0.2307
198400,11.05.1998,0.1767
198400,18.05.1998,0.1881
198400,25.05.1998,0.2543
198400,01.06.1998,0.2807
198400,08.06.1998,0.4769
198400,15.06.1998,0.4099
198400,22.06.1998,0.4493
198400,29.06.1998,0.3694
198400,06.07.1998,0.3784
198400,13.07.1998,0.2284
198400,20.07.1998,0.2099
198400,27.07.1998,0.2844
198400,03.08.1998,0.2301
198400,10.08.1998,0.1323
198400,17.08.1998,0.1309
198400,24.08.1998,0.1230
198400,31.08.1998,0.1453
198400,07.09.1998,0.1656
198400,14.09.1998,0.4230
198400,21.09.1998,0.2313
198400,28.09.1998,0.3093
198400,05.10.1998,0.6264
198400,12.10.1998,0.7140
198400,19.10.1998,0.4856
198400,26.10.1998,1.4053
198400,02.11.1998,1.3443
198400,09.11.1998,1.2600
198400,16.11.1998,1.3371
198400,23.11.1998,0.9471
198400,30.11.1998,0.6201
198400,07.12.1998,0.7667
198400,14.12.1998,0.7469
198400,21.12.1998,0.5654
198400,28.12.1998,0.5211
198400,04.01.1999,0.6304
198400,11.01.1999,0.8159
198400,18.01.1999,0.6307
198400,25.01.1999,0.4929
198400,01.02.1999,0.5341
198400,08.02.1999,0.5937
198400,15.02.1999,1.2183
198400,22.02.1999,1.9443
198400,01.03.1999,2.6957
198400,08.03.1999,1.6457
198400,15.03.1999,0.9734
198400,22.03.1999,0.7050
198400,29.03.1999,0.6326
198400,05.04.1999,0.6260
198400,12.04.1999,0.5570
198400,19.04.1999,0.5271
198400,26.04.1999,0.5364
198400,03.05.1999,0.4671
198400,10.05.1999,0.4391
198400,17.05.1999,0.4384
198400,24.05.1999,0.3426
198400,31.05.1999,0.2607
198400,07.06.1999,0.2459
198400,14.06.1999,0.2736
198400,21.06.1999,0.2367
198400,28.06.1999,0.1853
198400,05.07.1999,0.2391
198400,12.07.1999,0.2383
198400,19.07.1999,0.1761
198400,26.07.1999,0.3567
198400,02.08.1999,0.5423
198400,09.08.1999,0.5161
198400,16.08.1999,0.5050
198400,23.08.1999,0.5639
198400,30.08.1999,0.6406
198400,06.09.1999,0.2099
198400,13.09.1999,0.2099
198400,20.09.1999,0.0839
198400,27.09.1999,0.0680
198400,04.10.1999,0.0646
198400,11.10.1999,0.0633
198400,18.10.1999,0.0650
198400,25.10.1999,0.1009
198400,01.11.1999,0.1056
198400,08.11.1999,0.3160
198400,15.11.1999,0.3256
198400,22.11.1999,0.2077
198400,29.11.1999,0.2291
198400,06.12.1999,0.2853
198400,13.12.1999,0.3121
198400,20.12.1999,0.2763
198400,27.12.1999,0.3361
198400,03.01.2000,0.3291
198400,10.01.2000,0.3563
198400,17.01.2000,0.3609
198400,24.01.2000,0.6043
198400,31.01.2000,0.8229
198400,07.02.2000,0.4876
198400,14.02.2000,0.4376
198400,21.02.2000,0.4699
198400,28.02.2000,0.5256
198400,06.03.2000,1.3320
198400,13.03.2000,1.8229
198400,20.03.2000,1.3993
198400,27.03.2000,5.3400
198400,03.04.2000,1.5271
198400,10.04.2000,0.8927
198400,17.04.2000,0.6001
198400,24.04.2000,0.5063
198400,01.05.2000,0.5460
198400,08.05.2000,0.4754
198400,15.05.2000,0.6544
198400,22.05.2000,0.3157
198400,29.05.2000,0.2490
198400,05.06.2000,0.2867
198400,12.06.2000,0.1783
198400,19.06.2000,0.1977
198400,26.06.2000,0.2110
198400,03.07.2000,0.2057
198400,10.07.2000,0.2139
198400,17.07.2000,0.2066
198400,24.07.2000,0.2170
198400,31.07.2000,0.2913
198400,07.08.2000,0.3099
198400,14.08.2000,0.1219
198400,21.08.2000,0.1191
